9076,4935,113,112,16
1581,2064,189,217,57
9605,288,26,205,19
790,9008,31,92,29
8348,8404,57,214,201
1347,5968,56,224,78
1277,6018,47,230,23
801,9021,32,119,59
8740,726,178,227,134
8682,762,178,201,135
2657,3713,191,62,158
1626,2063,190,213,48
9734,4495,119,64,110
4026,5648,152,217,13
3647,6421,100,83,19
1648,2076,190,211,47
7738,6829,9,202,130
1782,7334,88,206,101
6146,2984,39,197,200
5664,1576,136,42,171
6181,2967,41,197,197
6095,2898,77,191,191
3164,1171,101,31,181
4673,8459,107,47,99
4704,8402,108,36,103
4241,1362,73,28,237
2474,9374,147,187,109
5652,2135,46,23,60
7626,4174,132,186,113
190,8854,170,26,239
2472,9324,140,157,97
8604,7718,113,18,197
1643,4795,50,31,87
7809,1400,0,26,129
8763,8193,125,31,172
7859,1411,5,40,129
8284,1815,73,183,153
387,9224,13,172,189
168,9212,28,184,209
72,9034,32,169,218
8152,1720,72,179,137
7092,1445,26,185,117
2780,7961,41,6,235
6133,3193,179,6,43
8606,4116,79,229,210
1823,9155,123,177,145
1881,9035,115,176,118
1001,795,158,172,115
5620,373,141,150,54
7557,450,32,157,4
7480,6789,15,221,117
9908,3274,14,129,0
7507,6956,22,238,108
9618,261,38,239,7
7634,6970,8,223,111
8274,1621,64,179,155
8420,8634,35,217,208
7529,4973,108,136,122
1894,9361,148,223,24
2230,8623,122,138,197
1272,6048,55,209,30
1273,6016,46,230,36
1281,6036,59,222,46
1268,5976,60,228,52
2403,8538,115,135,195
1281,5982,65,230,49
1271,6058,48,229,25
8591,769,188,229,120
8687,853,181,228,133
7698,4849,107,114,109
1292,6053,65,217,82
8782,728,177,227,144
7511,4783,100,117,132
8438,4211,86,216,196
4481,4356,233,141,103
4030,5661,156,221,13
394,1238,155,212,69
7039,419,104,217,107
6984,286,104,213,112
9908,3274,15,129,0
6966,9477,131,126,5
5439,9434,88,107,201
9895,3276,6,105,20
5307,9685,95,94,196
6965,9466,130,107,23
9904,3261,20,109,14
6935,9513,120,101,31
6973,9478,136,105,21
9076,4933,95,111,16
1792,7221,93,210,109
8018,2682,214,103,129
796,9013,47,90,33
6139,2901,87,191,191
6126,3039,47,190,191
2698,3877,175,96,12
2713,3873,173,94,19
9629,4455,116,77,101
2475,9323,151,183,118
8304,1929,68,184,146
2509,9441,149,190,108
2474,9374,139,174,102
7503,4277,106,197,108
694,6820,60,92,95
7526,4170,118,181,111
